Material description,Manufacturer,Rated power,Actual flow volume air/gas,"Pressure, static",
Centrifugal plug fan,NADI,15.000 kW,"40,500.000 m3/h",700 Pa,
Centrifugal plug fan,HYGIENIC AIR,37.000 kW,"60,000.000 m3/h","1,200 Pa",
Centrifugal plug fan,HYGIENIC AIR,30.000 kW,"45,000.000 m3/h","1,500 Pa",
Centrifugal plug fan,HYGIENIC AIR,55.000 kW,"75,000.000 m3/h","1,500 Pa",
Centrifugal plug fan,NADI,15.000 kW,"45,000.000 m3/h",600 Pa,
Centrifugal plug fan,NADI,30.000 kW,"45,000.000 m3/h","1,300 Pa",
Centrifugal plug fan,HYGIENIC AIR,22.000 kW,"60,000.000 m3/h",600 Pa,
Centrifugal plug fan,HYGIENIC AIR,22.000 kW,"60,000.000 m3/h",600 Pa,
Centrifugal plug fan,HYGIENIC AIR,22.000 kW,"60,000.000 m3/h",600 Pa,
Centrifugal plug fan,HYGIENIC AIR,22.000 kW,"60,000.000 m3/h",600 Pa,
Centrifugal plug fan,NADI,45.000 kW,"60,000.000 m3/h","1,500 Pa",
Centrifugal plug fan,NADI,45.000 kW,"60,000.000 m3/h","1,500 Pa",
Centrifugal plug fan,HYGIENIC AIR,45.000 kW,"60,000.000 m3/h","1,500 Pa",
Centrifugal plug fan,HYGIENIC AIR,22.000 kW,"45,000.000 m3/h","1,000 Pa",
Centrifugal plug fan,HYGIENIC AIR,30.000 kW,"60,000.000 m3/h","1,100 Pa",
Centrifugal plug fan,HYGIENIC AIR,22.000 kW,"64,000.000 m3/h",650 Pa,
Centrifugal plug fan,HYGIENIC AIR,37.000 kW,"49,000.000 m3/h","1,700 Pa",
Centrifugal plug fan,HYGIENIC AIR,75.000 kW,"60,000.000 m3/h","3,000 Pa",
Centrifugal plug fan,HYGIENIC AIR,55.000 kW,"42,250.000 m3/h","3,000 Pa",
Centrifugal plug fan,HYGIENIC AIR,30.000 kW,"60,000.000 m3/h","1,000 Pa",
Centrifugal plug fan,HYGIENIC AIR,75.000 kW,"48,750.000 m3/h","3,000 Pa",
Centrifugal plug fan,HYGIENIC AIR,11.000 kW,"22,000.000 m3/h","1,000 Pa",
Centrifugal plug fan,HYGIENIC AIR,15.000 kW,"20,000.000 m3/h","1,350 Pa",
Centrifugal plug fan,NADI,30.000 kW,"45,000.000 m3/h","1,500 Pa",
Centrifugal plug fan,NADI,37.000 kW,"60,000.000 m3/h","1,400 Pa",
Centrifugal plug fan,NADI,30.000 kW,"66,000.000 m3/h",600 Pa,
Centrifugal plug fan,HYGIENIC AIR,30.000 kW,"78,500.000 m3/h",750 Pa,
Centrifugal plug fan,HYGIENIC AIR,30.000 kW,"56,000.000 m3/h","1,200 Pa",
Centrifugal plug fan,NADI,55.000 kW,"60,000.000 m3/h","1,940 Pa",
Centrifugal plug fan,HYGIENIC AIR,30.000 kW,"45,000.000 m3/h","1,500 Pa",
Centrifugal plug fan,HYGIENIC AIR,30.000 kW,"48,000.000 m3/h","1,350 Pa",
Centrifugal plug fan,HYGIENIC AIR,30.000 kW,"48,000.000 m3/h","1,250 Pa",
Centrifugal plug fan,HYGIENIC AIR,5.500 kW,"12,000.000 m3/h",800 Pa,
Centrifugal plug fan,HYGIENIC AIR,55.000 kW,"72,500.000 m3/h","1,450 Pa",
Centrifugal plug fan,HYGIENIC AIR,55.000 kW,"72,500.000 m3/h","1,450 Pa",
Centrifugal plug fan,HYGIENIC AIR,55.000 kW,"90,000.000 m3/h","1,150 Pa",
Centrifugal plug fan,HYGIENIC AIR,75.000 kW,"104,000.000 m3/h","1,750 Pa",
Centrifugal plug fan,HYGIENIC AIR,75.000 kW,"104,000.000 m3/h","1,750 Pa",
Centrifugal plug fan,HYGIENIC AIR,45.000 kW,"60,000.000 m3/h","1,500 Pa",
Centrifugal plug fan,HYGIENIC AIR,45.000 kW,"60,000.000 m3/h","1,500 Pa",
Centrifugal plug fan,HYGIENIC AIR,30.000 kW,"75,000.000 m3/h",600 Pa,
Centrifugal plug fan,HYGIENIC AIR,45.000 kW,"75,000.000 m3/h","1,100 Pa",
Centrifugal plug fan,HYGIENIC AIR,45.000 kW,"60,000.000 m3/h","1,500 Pa",
Centrifugal plug fan,HYGIENIC AIR,37.000 kW,"45,000.000 m3/h","1,500 Pa",
Centrifugal plug fan,HYGIENIC AIR,75.000 kW,"112,000.000 m3/h","1,400 Pa",
Centrifugal plug fan,HYGIENIC AIR,75.000 kW,"120,000.000 m3/h","1,200 Pa",
